year,name,address,district,region,in,number,contract_date,project,program,requested,approved
2011,Obec Hlinné,"Hlinné 74,09435 Hlinné",Vranov nad Topľou,Vranov nad Topľou,00332411,MK-5030/2011/9.1,17.03.2011,Obec Hlinné,9.1,0,0
2011,Obec Hniezdne,"Hniezdne 1,065 01 Hniezdne",Stará Ľubovňa,Stará Ľubovňa,00329886,MK-258/2011/2.5,22.6.2011,Doplnenie a obohatenie knižničného fondu,2.5,1900,500
2011,Obec Hniezdne,"č.1,065 01 Hniezdne",Stará Ľubovňa,Stará Ľubovňa,00329886,MK-428/2011/1.1,13.06.2011,Oprava NPK 4082/0 Hniezdne s.č.234,1.1,114262,10000
2011,Obec Hniezdne,"Hlavná č. 1,06501 Hniezdne",Stará Ľubovňa,Stará Ľubovňa,00329886,MK-3022/2011/9.1,01.03.2011,Obec Hniezdne,9.1,0,0
2011,Obec Hnilec,"Huta 77/6,05375 Hnilec",Spišská Nová Ves,Spišská Nová Ves,00329142,MK-5645/2011/9.1,06.04.2011,Obec Hnilec,9.1,0,0
2011,Obec Hodejov,"141,98031 Hodejov",Rimavská Sobota,Rimavská Sobota,00318752,MK-4386/2011/9.1,11.03.2011,Obec Hodejov,9.1,0,0
2011,Obec Hodruša-Hámre,"185,96661 Hodruša-Hámre",Žarnovica,Žarnovica,00320617,MK-5860/2011/9.1,13.04.2011,Obec Hodruša-Hámre,9.1,0,0
2011,OBEC Holčíkovce,"40,09405 Holčíkovce",Vranov nad Topľou,Vranov nad Topľou,00332429,MK-4975/2011/9.1,17.03.2011,OBEC Holčíkovce,9.1,0,0
2011,Obec Holice,"Pósfa č. 151,93034 Holice",Dunajská Streda,Dunajská Streda,00305405,MK-3194/2011/9.1,01.03.2011,Obec Holice,9.1,0,0
2011,Obec Holiša,"61,98557 Holiša",Lučenec,Lučenec,00316105,MK-4606/2011/9.1,07.03.2011,Obec Holiša,9.1,0,0
2011,Obec Holumnica,"č. 32,05994 Holumnica",Kežmarok,Kežmarok,00326186,MK-5672/2011/9.1,06.04.2011,Obec Holumnica,9.1,0,0
2011,Obec Hontianska Vrbica,"č.267,93555 Hontianska Vrbica",Levice,Levice,00306975,MK-5680/2011/9.1,06.04.2011,Obec Hontianska Vrbica,9.1,0,0
2011,Obec Hontianske Nemce,"500,96265 Hontianske Nemce",Krupina,Krupina,00319929,MK-5269/2011/9.1,23.03.2011,Obec Hontianske Nemce,9.1,0,0
2011,Obec Hontianske Tesáre,"Hontianske Tesáre 66,962 68 Hontianske Tesáre",Krupina,Krupina,319937,MK-294/2011/2.5,14.6.2011,Nákup nových kníh,2.5,950,400
2011,Obec Hontianske Tesáre,"Hontianske Tesáre 66,962 68 Hontianske Tesáre",Krupina,Krupina,319937,MK-295/2011/2.1,17.6.2011,Nákup PC zostavy,2.1,950,950
2011,Obec Hontianske Tesáre,"Hontianske Tesáre 66,962 68 Hontianske Tesáre",Krupina,Krupina,319937,MK-296/2011/2.1,17.6.2011,Nákup Knižnično-informačného systému KIS MaSK,2.1,143,142
2011,Obec Hontianske Tesáre,"66,96268 Hontianske Tesáre",Krupina,Krupina,00319937,MK-4000/2011/9.1,03.03.2011,Obec Hontianske Tesáre,9.1,0,0
2011,Obec Hôrka,"č. 141,05912 Hôrka",Poprad,Poprad,00326194,MK-4938/2011/9.1,17.03.2011,Obec Hôrka,9.1,0,0
2011,Obec Hôrky,"Hôrky 111,01004 Hôrky",Žilina,Žilina,00321303,MK-5708/2011/9.1,06.04.2011,Obec Hôrky,9.1,0,0
2011,Obec Horná Kráľová,"Hlavná ul.č. 17,95132 Horná Kráľová",Šaľa,Šaľa,00800368,MK-3812/2011/9.1,11.05.2011,Obec Horná Kráľová,9.1,0,0
2011,Obec Horná Lehota,"č. 99,97681 Horná Lehota",Brezno,Brezno,00313441,MK-3795/2011/9.1,03.03.2011,Obec Horná Lehota,9.1,0,0
2011,Obec Horná Poruba,"39,01835 Horná Poruba",Ilava,Ilava,00317284,MK-6211/2011/9.1,20.04.2011,Obec Horná Poruba,9.1,0,0
2011,Obec Horná Potôň,"Hlavná č. 1,93036 Horná Potôň",Dunajská Streda,Dunajská Streda,00305413,MK-5945/2011/9.1,13.04.2011,Obec Horná Potôň,9.1,0,0
2011,Obec Horná Súča,"Horná Súča 233,91333 Horná Súča",Trenčín,Trenčín,00311561,MK-5234/2011/9.1,23.03.2011,Obec Horná Súča,9.1,0,0
2011,Obec Horná Štubňa,"Horná Štubňa 455,03846 Horná Štubňa",Turčianske Teplice,Turčianske Teplice,00316695,MK-5092/2011/9.1,17.03.2011,Obec Horná Štubňa,9.1,0,0
2011,Obec Horná Ves,"Obecný úrad č. 191,97248 Horná Ves",Prievidza,Prievidza,00318108,MK-6215/2011/9.1,20.04.2011,Obec Horná Ves,9.1,0,0
2011,Obec Horné Lefantovce,"Farská 25,95145 Horné Lefantovce",Nitra,Nitra,00399418,MK-3928/2011/9.1,03.03.2011,Obec Horné Lefantovce,9.1,0,0
2011,Obec Horné Obdokovce,"č. 389,95608 Horné Obdokovce",Topoľčany,Topoľčany,00310441,MK-4148/2011/9.1,03.03.2011,Obec Horné Obdokovce,9.1,0,0
2011,Obec Horné Orešany,"190,91903 Horné Orešany",Trnava,Trnava,00312533,MK-2928/2011/9.1,11.05.2011,Obec Horné Orešany,9.1,0,0
2011,Obec Horné Otrokovce,"č.146,92062 Horné Otrokovce",Hlohovec,Hlohovec,00312541,MK-5217/2011/9.1,23.03.2011,Obec Horné Otrokovce,9.1,0,0
2011,Obec Horné Saliby,"Hlavná 297,92503 Horné Saliby",Galanta,Galanta,00305952,MK-5479/2011/9.1,31.03.2011,Obec Horné Saliby,9.1,0,0
2011,Obec Horné Semerovce,"Horné Semerovce 100,93584 Horné Semerovce",Levice,Levice,00306991,MK-6115/2011/9.1,18.04.2011,Obec Horné Semerovce,9.1,0,0
2011,Obec Horné Srnie,"Družstevná 430/1,914 42 Horné Srnie",Trenčín,Trenčín,311588,MK-1331/2011/2.1,,Doplnenie technického vybavenia Obecnej knižnice v Hornom Srní,2.1,2223,0
2011,Obec Horné Srnie,"Družstevná 430/1,914 42 Horné Srnie",Trenčín,Trenčín,311588,MK-3803/2011/2.5,,Doplnenie knižničného fondu Obecnej knižnice v Hornom Srní,2.5,1615,0
2011,Obec Horné Srnie,"Družstevná 430/1,91442 Horné Srnie",Trenčín,Trenčín,00311588,MK-4841/2011/9.1,14.03.2011,Obec Horné Srnie,9.1,0,0
2011,Obec Horné Srnie,"Družstevná 430/1,914 42 Horné Srnie",Trenčín,Trenčín,311588,MK-6657/2011/2.5,,Doplnenie knižničného fondu Obecnej knižnice v Hornom Srní,2.5,1615,0
2011,Obec Horné Srnie,"Družstevná 430/1,914 42 Horné Srnie",Trenčín,Trenčín,311588,MK-6650/2011/2.1,,Doplnenie technického vybavenia Obecnej knižnice v Hornom Srní,2.1,2223,0
2011,Obec Horné Trhovište,"Horné Trhovište 73,920 66 Horné Trhovište",Hlohovec,Hlohovec,00682152,MK-3614/2011/2.5,,Nákup knižničného fondu,2.5,700,0
2011,Obec Horné Trhovište,"Horné Trhovište 73,920 66 Horné Trhovište",Hlohovec,Hlohovec,00682152,MK-3615/2011/2.1,,Informatizácia a modernizácia knižnice,2.1,950,0
2011,Obec Horné Trhovište,"Horné Trhovište 73,920 66 Horné Trhovište",Hlohovec,Hlohovec,00682152,MK-6612/2011/2.1,,Informatizácia a modernizácia knižnice,2.1,950,0
2011,Obec Horné Trhovište,"Horné Trhovište 73,920 66 Horné Trhovište",Hlohovec,Hlohovec,00682152,MK-6611/2011/2.5,,Nákup knižničného fondu,2.5,700,0
2011,Obec Horný Bar,"184,93033 Horný Bar",Dunajská Streda,Dunajská Streda,00305421,MK-3032/2011/9.1,01.03.2011,Obec Horný Bar,9.1,0,0
2011,OBEC HORNÝ VADIČOV,"Horný Vadičov 160,02345 Horný Vadičov",Kysucké Nové Mesto,Kysucké Nové Mesto,00314030,MK-5424/2011/9.1,25.03.2011,OBEC HORNÝ VADIČOV,9.1,0,0
2011,Obec Horovce,"Horovce 25,07202 Horovce",Michalovce,Michalovce,00325198,MK-6160/2011/9.1,18.04.2011,Obec Horovce,9.1,0,0
2011,obec Horovce,"94,02062 Horovce",Púchov,Púchov,00317306,MK-4008/2011/9.1,03.03.2011,obec Horovce,9.1,0,0
2011,Obec Hostice,"Hlavná,98004 Hostice",Rimavská Sobota,Rimavská Sobota,00318761,MK-6291/2011/9.1,20.04.2011,Obec Hostice,9.1,0,0
2011,Obec Hostie,"Hlavná č. 1,95194 Hostie",Zlaté Moravce,Zlaté Moravce,00307980,MK-2676/2011/9.1,22.02.2011,Obec Hostie,9.1,0,0
2011,Obec Hosťovce,"49,95191 Hosťovce",Zlaté Moravce,Zlaté Moravce,00308005,MK-5921/2011/9.1,16.05.2011,Obec Hosťovce,9.1,0,0
2011,Obec Hrabkov,"Hrabkov 81,08233 Hrabkov",Prešov,Prešov,00327093,MK-4897/2011/9.1,17.03.2011,Obec Hrabkov,9.1,0,0
2011,Obec Hrabovec,"Hrabovec 104,08611 Hrabovec",Bardejov,Bardejov,00322041,MK-5882/2011/9.1,04.05.2011,Obec Hrabovec,9.1,0,0
2011,Obec Hrabovec nad Laborcom,"Hrabovec nad Laborcom 156,06701 Hrabovec nad Laborcom",Humenné,Humenné,00322997,MK-3645/2011/9.1,28.02.2011,Obec Hrabovec nad Laborcom,9.1,0,0
2011,Obec Hrabské,"Hrabské 103,08606 Hrabské",Bardejov,Bardejov,00322059,MK-6200/2011/9.1,20.04.2011,Obec Hrabské,9.1,0,0
2011,Obec Hrabušice,"Hlavná 171,05315 Hrabušice",Spišská Nová Ves,Spišská Nová Ves,00329151,MK-4983/2011/9.1,17.03.2011,Obec Hrabušice,9.1,0,0
2011,Obec Hradište,"Hradište 112,985 25 Hradište",Poltár,Poltár,00648604,MK-4305/2011/2.1,,Doplnenie knižničného fondu v obecnej knižnici v Hradišti,2.1,1000,0
2011,OBEC Hradište pod Vrátnom,"č. 80,90612 Hradište pod Vrátnom",Senica,Senica,00309559,MK-5694/2011/9.1,06.04.2011,OBEC Hradište pod Vrátnom,9.1,0,0
2011,Obec Hrachovo,"Mieru 35,98052 Hrachovo",Rimavská Sobota,Rimavská Sobota,00318779,MK-3623/2011/9.1,28.02.2011,Obec Hrachovo,9.1,0,0
2011,Obec Hraň,"SNP 165/39,076 03 Hraň",Trebišov,Trebišov,00331538,MK-2624/2011/2.5,,Nákup kníh pre obecnú knižnicu v Hrani,2.5,1500,0
2011,Obec Hraň,"SNP 165,07603 Hraň",Trebišov,Trebišov,00331538,MK-4081/2011/9.1,03.03.2011,Obec Hraň,9.1,0,0
2011,Obec Hranovnica,"Sládkovičova 398,059 16 Hranovnica",Poprad,Poprad,00326224,MK-3136/2011/2.5,13.6.2011,Nové knihy pre našu knižnicu,2.5,1500,400
2011,Obec Hranovnica,"Sládkovičova 398,05916 Hranovnica",Poprad,Poprad,00326224,MK-5506/2011/9.1,04.05.2011,Obec Hranovnica,9.1,0,0
2011,Obec Hranovnica,"Sládkovičova 398,05916 Hranovnica",Poprad,Poprad,00326224,MK-6814/2011/9.2,28.06.2011,Obec Hranovnica,9.2,0,183
2011,Obec Hrčeľ,"Hlavná 200/30,07615 Hrčeľ",Trebišov,Trebišov,00331546,MK-5379/2011/9.1,25.03.2011,Obec Hrčeľ,9.1,0,0
2011,OBEC HRHOV,"Hrhov 363,04944 Hrhov",Rožňava,Rožňava,00328294,MK-4693/2011/9.1,14.03.2011,OBEC HRHOV,9.1,0,0
2011,Obec Hrnčiarovce nad Parnou,"Farská č. 37,91935 Hrnčiarovce nad Parnou",Trnava,Trnava,34007521,MK-2710/2011/9.1,22.02.2011,Obec Hrnčiarovce nad Parnou,9.1,0,0
2011,Obec Hrnčiarovce nad Parnou,"Farská č. 37,91935 Hrnčiarovce nad Parnou",Trnava,Trnava,34007521,MK-7135/2011/9.2,22.09.2011,Obec Hrnčiarovce nad Parnou,9.2,0,0
2011,Obec Hrnčiarska Ves,"č.237,98013 Hrnčiarska Ves",Poltár,Poltár,00318787,MK-4994/2011/9.1,17.03.2011,Obec Hrnčiarska Ves,9.1,0,0
2011,Obec Hrochoť,"Námestie Andreja Sládkoviča 343/1,97637 Hrochoť",Banská Bystrica,Banská Bystrica,00313475,MK-6091/2011/9.1,18.04.2011,Obec Hrochoť,9.1,0,0
2011,Obec Hromoš,"Hromoš 114,065 45 Hromoš",Stará Ľubovňa,Stará Ľubovňa,00329908,MK-5041/2011/2.5,13.6.2011,Nákup kníh,2.5,475,475
2011,Obec Hromoš,"Hromoš 29,06545 Hromoš",Stará Ľubovňa,Stará Ľubovňa,00329908,MK-3296/2011/9.1,04.05.2011,Obec Hromoš,9.1,0,0
2011,Obec Hronsek,"Záhumnie č. 26,976 31 Hronsek",Banská Bystrica,Banská Bystrica,00629537,MK-1539/2011/1.1,,"Sanácia a odvodnenie základových konštrukcií a soklového muriva objektu barokového kaštieľa v Hronseku, ÚZPF 53/1",1.1,28075,0
2011,Obec Hronské Kosihy,"61,93527 Hronské Kosihy",Levice,Levice,00307068,MK-5187/2011/9.1,23.03.2011,Obec Hronské Kosihy,9.1,0,0
2011,Obec Hrubov,"č.97,06723 Hrubov",Humenné,Humenné,00323004,MK-5884/2011/9.1,13.04.2011,Obec Hrubov,9.1,0,0
2011,OBEC HRUŠOV,"114,04943 Hrušov",Rožňava,Rožňava,00328308,MK-5726/2011/9.1,06.04.2011,OBEC HRUŠOV,9.1,0,0
2011,Obec Hrušov,"Hrušov 526,991 42 Hrušov",Veľký Krtíš,Veľký Krtíš,00319341,MK-3832/2011/8.4,24.6.2011,Hrušovský kroj a jeho premeny v čase,8.4,2300,2300
2011,Obec Hrušov,"Hrušov č. 526,99142 Hrušov",Veľký Krtíš,Veľký Krtíš,00319341,MK-3719/2011/9.1,03.03.2011,Obec Hrušov,9.1,0,0
2011,Obec Hrušov,"Hrušov 526,991 42 Hrušov",Veľký Krtíš,Veľký Krtíš,00319341,MK-3414/2011/8.1,23.6.2011,"16. ročník folklórneho festivalu ""Hontianska paráda Hrušov 2011""",8.1,20000,12000
2011,Obec Hrušovany,"346,95613 Hrušovany",Topoľčany,Topoľčany,00699179,MK-5266/2011/9.1,25.03.2011,Obec Hrušovany,9.1,0,0
2011,Obec Hruštín,"Kultúrna 468/2,02952 Hruštín",Námestovo,Námestovo,00314501,MK-4507/2011/9.1,11.03.2011,Obec Hruštín,9.1,0,0
2011,Obec Hubová,"Pri Váhu 70/70,03491 Hubová",Ružomberok,Ružomberok,00315214,MK-3661/2011/9.1,28.02.2011,Obec Hubová,9.1,0,0
2011,Obec Hucín,"76,04913 Hucín",Revúca,Revúca,00328316,MK-5915/2011/9.1,13.04.2011,Obec Hucín,9.1,0,0
2011,Obec Hul,"Nám. Cyrila Minárika 435/16,941 44 Hul",Nové Zámky,Nové Zámky,00308919,MK-1365/2011/2.1,,Modernizácia technického vybavenia obecnej knižnice,2.1,1395,0
2011,Obec Hul,"Námestie Cyrila Minárika 435/16,941 44 Hul",Nové Zámky,Nové Zámky,00308919,MK-1046/2011/1.1,16.06.2011,"Rekonštrukcia Kaštieľa Hul čís. ÚZPF 2299/1, Hul",1.1,33436,10000
2011,Obec Hul,"č.435,94144 Hul",Nové Zámky,Nové Zámky,00308919,MK-5093/2011/9.1,17.03.2011,Obec Hul,9.1,0,0
2011,Obec Huncovce,"ul. Hlavná 29/2,05992 Huncovce",Kežmarok,Kežmarok,00326232,MK-5532/2011/9.1,31.03.2011,Obec Huncovce,9.1,0,0
2011,Obec Husiná,"157,98542 Husiná",Rimavská Sobota,Rimavská Sobota,00318817,MK-4310/2011/9.1,11.03.2011,Obec Husiná,9.1,0,0
2011,Obec Hviezdoslavov,"č.8,93041 Hviezdoslavov",Dunajská Streda,Dunajská Streda,00305456,MK-3353/2011/9.1,28.02.2011,Obec Hviezdoslavov,9.1,0,0
2011,Obec Hvozdnica,"348 ,013 56 Hvozdnica",Bytča,Bytča,00648922,MK-4785/2011/8.1,20.6.2011,Javornícke ozveny V.,8.1,4028,1000
2011,Obec Hvozdnica,"Hvozdnica, 348,01356 Hvozdnica",Bytča,Bytča,00648922,MK-6083/2011/9.1,18.04.2011,Obec Hvozdnica,9.1,0,0
2011,Obec Hybe,"Hybe,03231 Hybe",Liptovský Mikuláš,Liptovský Mikuláš,00315231,MK-5021/2011/9.1,17.03.2011,Obec Hybe,9.1,0,0
2011,OBEC CHANAVA,"Chanava 139,98044 Chanava",Rimavská Sobota,Rimavská Sobota,00318825,MK-4884/2011/9.1,14.03.2011,OBEC CHANAVA,9.1,0,0
2011,Obec Chmeľnica,"103,06401 Chmeľnica",Stará Ľubovňa,Stará Ľubovňa,00329916,MK-4979/2011/9.1,17.03.2011,Obec Chmeľnica,9.1,0,0
2011,Obec Chmeľov,"Chmeľov 89,08215 Chmeľov",Prešov,Prešov,00327115,MK-6064/2011/9.1,18.04.2011,Obec Chmeľov,9.1,0,0
2011,Obec Chmeľová,"Chmeľová 164,086 33Zborov Chmeľová",Bardejov,Bardejov,00322075,MK-82/2011/2.1,,Obnova knižničného fondu v obecnej knižnici,2.1,800,0
2011,Obec Chmeľová,"Chmeľová,08633 Chmeľová",Bardejov,Bardejov,00322075,MK-5441/2011/9.1,25.03.2011,Obec Chmeľová,9.1,0,0
2011,Obec Chminianska Nová Ves,"Chminianska Nová Ves 31,082 33 Chminianska Nová Ves",Prešov,Prešov,00327140,MK-2285/2011/2.5,14.6.2011,Nákup knižničného fondu,2.5,750,500
2011,Obec Chminianska Nová Ves,"Školská 30,08233 Chminianska Nová Ves",Prešov,Prešov,00327140,MK-4894/2011/9.1,17.03.2011,Obec Chminianska Nová Ves,9.1,0,0
2011,Obec Chminianske Jakubovany,"Chminianske Jakubovany 82,082 33 Chminianske Jakubovany",Prešov,Prešov,00327158,MK-3952/2011/2.5,,Knižný fond Chminianske Jakubovany,2.5,950,0
2011,Obec Chminianske Jakubovany,"Chminianske Jakubovany 82,802 33 Chminianske Jakubovany",Prešov,Prešov,00327158,MK-6755/2011/2.5,,Knižničný fond Chminianske Jakubovany,2.5,950,0
2011,Obec Choňkovce,"180,07263 Choňkovce",Sobrance,Sobrance,00325210,MK-3983/2011/9.1,03.03.2011,Obec Choňkovce,9.1,0,0
2011,Obec Chorvátsky Grob,"Nám. Josipa Andriča 17,90025 Chorvátsky Grob",Senec,Senec,00304760,MK-5259/2011/9.1,23.03.2011,Obec Chorvátsky Grob,9.1,0,0
2011,Obec Chotča,"Chotča,09021 Chotča",Stropkov,Stropkov,00330307,MK-4001/2011/9.1,03.03.2011,Obec Chotča,9.1,0,0
2011,Obec Chotín,"486,94631 Chotín",Komárno,Komárno,00306461,MK-1960/2011/9.1,"",Obec Chotín,9.1,0,0
2011,Obec Chotín,"č. 486,946 31 Chotín",Komárno,Komárno,00306461,MK-4597/2011/8.3,,Príprava CD s ľudovou hudbou,8.3,16853,0
2011,OBEC CHRABRANY,"Mlynská 326/3,95501 Chrabrany",Topoľčany,Topoľčany,00699187,MK-2985/2011/9.1,01.03.2011,OBEC CHRABRANY,9.1,0,0
2011,OBEC Chrasť nad Hornádom,"165,05363 Chrasť nad Hornádom",Spišská Nová Ves,Spišská Nová Ves,00329177,MK-6205/2011/9.1,20.04.2011,OBEC Chrasť nad Hornádom,9.1,0,0
2011,Obec Chrenovec - Brusno,"Obec Chrenovec - Brusno 1,972 32 Chrenovec-Brusno",Prievidza,Prievidza,318124,MK-4292/2011/1.1,16.06.2011,Mariánsky stĺp s plastikou Immaculaty,1.1,14599,8000
2011,Obec Chrenovec-Brusno,"Chrenovec-Brusno 1,972 32 Chrenovec-Brusno",Prievidza,Prievidza,318124,MK-2591/2011/2.5,14.6.2011,Modernizácia a obnovenie knižného fondu,2.5,1140,400
2011,Obec Chtelnica,"Námestie 1. mája 495/52,92205 Chtelnica",Piešťany,Piešťany,00312584,MK-5094/2011/9.1,17.03.2011,Obec Chtelnica,9.1,0,0
2011,OBEC CHYNORANY,"Cintorínska 45/1,95633 Chynorany",Partizánske,Partizánske,00310506,MK-5483/2011/9.1,31.03.2011,OBEC CHYNORANY,9.1,0,0
2011,Obec Igram,"217,900 84 Igram",Senec,Senec,00800252,MK-6310/2011/4.2.4,,"Vydanie CD Mládežníckeho ľudového orchestra Igrici ""Šírym poľom""",4.2.4,3287,0
2011,Obec Ihľany,"94,05994 Ihľany",Kežmarok,Kežmarok,00326241,MK-5697/2011/9.1,06.04.2011,Obec Ihľany,9.1,0,0
2011,Obec Iliašovce,"231,05311 Iliašovce",Spišská Nová Ves,Spišská Nová Ves,00329185,MK-5501/2011/9.1,31.03.2011,Obec Iliašovce,9.1,0,0
2011,Obec Imeľ,"Námestie J. Blaskovicsa 507/11,94652 Imeľ",Komárno,Komárno,00306479,MK-5407/2011/9.1,25.03.2011,Obec Imeľ,9.1,0,0
2011,Obec Iňačovce,"Iňačovce 141,07211 Iňačovce",Michalovce,Michalovce,00325236,MK-5396/2011/9.1,25.03.2011,Obec Iňačovce,9.1,0,0
2011,Obec Ipeľský Sokolec,"119,93575 Ipeľský Sokolec",Levice,Levice,00307092,MK-5862/2011/9.1,13.04.2011,Obec Ipeľský Sokolec,9.1,0,0
2011,Obec Ivanka pri Dunaji,"Štefánikova ul. č. 12,900 28 Ivanka pri Dunaji",Senec,Senec,00304786,MK-2133/2011/1.1,20.06.2011,"Reštaurovanie sôch sv. Floriána a sv. Donáta č. ÚZPF 11618/ 1-2, 11619/ 1-2 v Ivanke pri Dunaji, II. etapa",1.1,7890,5000
2011,Obec Ivanka pri Dunaji,"Štefánikova 12,90028 Ivanka pri Dunaji",Senec,Senec,00304786,MK-5192/2011/9.1,23.03.2011,Obec Ivanka pri Dunaji,9.1,0,0
2011,Obec Iža,"Ďatelinová 674,946 39 Iža",Komárno,Komárno,00306487,MK-4880/2011/8.2,,Rímske dni,8.2,9545,0
2011,Obec Iža,"Ďatelinová č. 674,94639 Iža",Komárno,Komárno,00306487,MK-5238/2011/9.1,23.03.2011,Obec Iža,9.1,0,0
2011,Obec Jablonec,"206,90087 Jablonec",Pezinok,Pezinok,00304794,MK-4966/2011/9.1,17.03.2011,Obec Jablonec,9.1,0,0
2011,Obec Jablonica,"Trnavská 801,90632 Jablonica",Senica,Senica,00309583,MK-5700/2011/9.1,06.04.2011,Obec Jablonica,9.1,0,0
2011,Obec Jablonka,"Ć. 51,90621 Jablonka",Myjava,Myjava,00309591,MK-6178/2011/9.1,20.04.2011,Obec Jablonka,9.1,0,0
2011,Obec Jablonov,"č. 165,05303 Jablonov",Levoča,Levoča,00329193,MK-3255/2011/9.1,01.03.2011,Obec Jablonov,9.1,0,0
2011,Obec Jablonov nad Turňou,"č.73,04943 Jablonov nad Turňou",Rožňava,Rožňava,00328332,MK-5205/2011/9.1,23.03.2011,Obec Jablonov nad Turňou,9.1,0,0
2011,Obec Jablonové,"Jablonové 197,900 54 Jablonové",Malacky,Malacky,00304808,MK-2136/2011/1.1,,Výmena strešnej krytiny - Jablonové č. 20 - Fara pamätná UZPF 10009/0,1.1,36459,0
2011,Obec Jablonové,"Jablonové 193,90054 Jablonové",Malacky,Malacky,00304808,MK-4327/2011/9.1,11.03.2011,Obec Jablonové,9.1,0,0
2011,Obec Jacovce,"Farská 288/6,956 21 Jacovce",Topoľčany,Topoľčany,00699209,MK-121/2011/2.5,,Nákup knižného fondu,2.5,950,0
2011,Obec Jacovce,"Farská 288/6,956 21 Jacovce",Topoľčany,Topoľčany,00699209,MK-120/2011/2.1,,Automatizácia knižničných procesov,2.1,950,0
2011,Obec Jacovce,"Farská 288/6,95621 Jacovce",Topoľčany,Topoľčany,00699209,MK-5233/2011/9.1,23.03.2011,Obec Jacovce,9.1,0,0
2011,Obec Jahodná,"Nám.sv.Trojice 294/3,93021 Jahodná",Dunajská Streda,Dunajská Streda,00305472,MK-6229/2011/9.1,20.04.2011,Obec Jahodná,9.1,0,0
2011,Obec Jakubany,"Jakubany 555,06512 Jakubany",Stará Ľubovňa,Stará Ľubovňa,00329924,MK-5287/2011/9.1,25.03.2011,Obec Jakubany,9.1,0,0
2011,Obec Jakubov,"č. 191,90063 Jakubov",Malacky,Malacky,00304816,MK-5692/2011/9.1,06.04.2011,Obec Jakubov,9.1,0,0
2011,Obec Jakubovany,"Jakubovany 24,08301 Jakubovany",Sabinov,Sabinov,00327182,MK-1958/2011/9.1,"",Obec Jakubovany,9.1,0,0
2011,Obec Jamník,"101,05322 Jamník",Spišská Nová Ves,Spišská Nová Ves,00329215,MK-5932/2011/9.1,13.04.2011,Obec Jamník,9.1,0,0
2011,Obec Janik,"Janík č.135,04405 Janík",Košice - okolie,Košice - okolie,00324256,MK-3811/2011/9.1,03.03.2011,Obec Janik,9.1,0,0
2011,Obec Jankovce,"Jankovce 44,06724 Jankovce",Humenné,Humenné,00323071,MK-6194/2011/9.1,20.04.2011,Obec Jankovce,9.1,0,0
2011,Obec Janova Lehota,"č. 38,96624 Janova Lehota",Žiar nad Hronom,Žiar nad Hronom,00320706,MK-5358/2011/9.1,25.03.2011,Obec Janova Lehota,9.1,0,0
2011,Obec Jánovce,"248,05913 Jánovce",Poprad,Poprad,00326259,MK-3980/2011/9.1,03.03.2011,Obec Jánovce,9.1,0,0
2011,Obec Jarabina,"Jarabina 58,065 31 Jarabina",Stará Ľubovňa,Stará Ľubovňa,00329932,MK-3298/2011/2.5,13.6.2011,Doplnenie knižničného fondu,2.5,590,400
2011,Obec Jarabina,"č.58,065 31 Jarabina",Stará Ľubovňa,Stará Ľubovňa,00329932,MK-3282/2011/8.3,,"Doplnenie krojových súčastí pre Folklórnu skupinu ""Poľana"" Jarabina",8.3,1970,0
2011,Obec Jarovnice,"Jarovnice 223,08263 Jarovnice",Sabinov,Sabinov,00327212,MK-5158/2011/9.1,23.03.2011,Obec Jarovnice,9.1,0,0
2011,Obec Jasenov,"Hlavná 337,066 01 Jasenov",Humenné,Humenné,00690074,MK-664/2011/8.1,,"Sotácky folklórny festival Jasenov, okr. Humenné",8.1,3000,0
2011,Obec Jasenov,"Hlavná č.súp. 337,066 01 Jasenov",Humenné,Humenné,00690074,MK-7058/2011/8.1,,"Sotácky folklórny festival Jasenov , okr. Humenné",8.1,3000,0
2011,"Obec Jasenov, okr. Humenné","Hlavná 337,066 01 Jasenov",Humenné,Humenné,00690074,MK-6886/2011/8.1,,"Sotácky folklórny festival Jasenov, okr. Humenné",8.1,3000,0
2011,Obec Jasenové,"Jasenové 1,01319 Jasenové",Žilina,Žilina,00321346,MK-4690/2011/9.1,14.03.2011,Obec Jasenové,9.1,0,0
2011,Obec Jaslovské Bohunice,"Námestie sv. Michala 36/10A,91934 Jaslovské Bohunice",Trnava,Trnava,00312614,MK-5776/2011/9.1,11.04.2011,Obec Jaslovské Bohunice,9.1,0,0
2011,Obec Jasov,"Jasov 259,044 23 Jasov",Košice - okolie,Košice - okolie,324264,MK-3406/2011/2.5,,Nákup kníh na podchytenie záujmu o čítanie pre žiakov ZŠ zo sociálne znevýhodneného prostredia,2.5,1425,0
2011,Obec Jasová,"č. 303,94134 Jasová",Nové Zámky,Nové Zámky,00308935,MK-5922/2011/9.1,13.04.2011,Obec Jasová,9.1,0,0
2011,Obec Jastrabá,"187,96701 Jastrabá",Žiar nad Hronom,Žiar nad Hronom,00320714,MK-5805/2011/9.1,11.04.2011,Obec Jastrabá,9.1,0,0
2011,Obec Jastrabie nad Topľou,"Jastrabie nad Topľou č. 113,09435 Jastrabie nad Topľou",Vranov nad Topľou,Vranov nad Topľou,00332445,MK-6063/2011/9.1,18.04.2011,Obec Jastrabie nad Topľou,9.1,0,0
